date,WGT_ms_n,WGT_ws_n
01-Apr-2022,9438464.144165039,8887551.949829102
01-May-2022,8310010.299682617,8677631.526611328
01-Jun-2022,8855364.550537109,8450763.606567383
01-Jul-2022,8614297.799926758,8481549.731567383
01-Aug-2022,8602297.157592773,8442163.713134766
01-Sep-2022,8857486.766601563,7625847.841186523
01-Oct-2022,9125518.600097656,8394956.815429688
01-Nov-2022,8976946.130493164,8371345.696655273
01-Dec-2022,8976459.319335938,8501178.862548828
01-Jan-2023,9355467.91796875,8997433.181396484
01-Feb-2023,9809853.286132813,10254546.59472656
01-Mar-2023,10292618.7088623,10027022.98339844
01-Apr-2023,10005288.94213867,9372767.042236328
01-May-2023,10255972.52807617,9236502.700195313
01-Jun-2023,9371072.444091797,9355659.137329102
01-Jul-2023,9716232.923828125,9336027.169189453
01-Aug-2023,9780738.559326172,9023132.791992188
01-Sep-2023,9569884.200805664,8655338.862670898
