date,WGT_ya_n,WGT_pa_n,WGT_oa_n
01-Nov-2005,1862648.568054199,14726263.23278809,3831797.071777344
01-Dec-2005,1626569.485595703,14716851.22332764,3523219.912231445
01-Jan-2006,1987122.947387695,15612805.88198853,3425686.051269531
01-Feb-2006,1862302.441894531,16322458.90856934,4110876.347900391
01-Mar-2006,2014003.67199707,15908559.887146,4192503.091308594
01-Apr-2006,1525109.521606445,14754347.29376221,3338771.906616211
01-May-2006,1398489.254211426,14529763.80004883,3271652.137939453
01-Jun-2006,1931647.317993164,13949227.71148682,3008002.32019043
01-Jul-2006,2574654.104125977,14657283.56750488,3597564.867492676
01-Aug-2006,2111258.011474609,14542599.09228516,3659523.682434082
01-Sep-2006,1603091.606689453,15113106.53033447,3816805.767333984
01-Oct-2006,1578212.943603516,14426086.73577881,3589420.291992188
01-Nov-2006,1826192.894042969,14907670.12420654,3435681.53137207
01-Dec-2006,1478547.581665039,15198376.34332275,3468264.559448242
01-Jan-2007,1830954.287231445,15610649.79559326,3849556.159790039
01-Feb-2007,1931056.069580078,16379153.97741699,4075322.46307373
01-Mar-2007,2104977.199707031,16485207.92852783,3924939.364990234
01-Apr-2007,1734685.306030273,14893593.91101074,3666805.971801758
01-May-2007,1789141.717163086,15236070.89855957,3931184.563354492
01-Jun-2007,2105404.044067383,14178208.54284668,4171433.352844238
01-Jul-2007,1976616.793823242,14346661.13342285,3829160.752868652
01-Aug-2007,1866879.010864258,14574411.60949707,3918274.291015625
01-Sep-2007,1712426.32409668,14208508.105896,3538612.656677246
01-Oct-2007,1859515.041625977,14590544.41693115,3519630.047973633
01-Nov-2007,1570688.557739258,14427982.40405273,3743864.541625977
01-Dec-2007,1897020.19128418,14400814.98986816,3727637.16418457
01-Jan-2008,1670163.515380859,16044953.69696045,4039282.108032227
01-Feb-2008,1744882.555419922,16691765.09008789,4333954.899902344
01-Mar-2008,1736608.665527344,16065209.47613525,4664419.785827637
01-Apr-2008,1589998.165649414,15613641.09814453,4378913.759521484
01-May-2008,1710744.724609375,15714229.95733643,3910725.795227051
01-Jun-2008,2151177.540283203,15531403.88531494,4141161.227905273
01-Jul-2008,2483840.284729004,14687237.57531738,4044458.268737793
01-Aug-2008,2118263.870361328,14943496.85662842,3681655.906860352
01-Sep-2008,1557656.479003906,14596724.91412354,4295852.106201172
01-Oct-2008,1801413.683532715,14213514.56860352,4340617.012817383
01-Nov-2008,1713189.301635742,14541667.47161865,4003750.209716797
01-Dec-2008,1798929.940551758,15138288.94372559,4177341.442382813
01-Jan-2009,1765331.641845703,15178407.6361084,4132917.228210449
01-Feb-2009,2195107.622924805,16251682.50500488,4482378.293273926
01-Mar-2009,2040008.33984375,16383107.14117432,4517881.610778809
01-Apr-2009,1622655.013305664,15210712.58630371,3816138.60559082
01-May-2009,1691594.334228516,14763424.33074951,4097143.280029297
01-Jun-2009,2050518.226074219,15390957.05334473,4102224.960754395
01-Jul-2009,2115236.339355469,15142124.37225342,3715675.03527832
01-Aug-2009,1949452.393310547,15454558.94500732,3911895.712463379
01-Sep-2009,1539041.519775391,13767452.29718018,3999459.153198242
01-Oct-2009,1467751.893981934,14525271.6661377,4061406.390014648
01-Nov-2009,1674879.82989502,14349001.05706787,4274013.886047363
01-Dec-2009,1537816.590026855,13348010.36010742,4098619.504577637
01-Jan-2010,1815223.517822266,13976415.0925293,4299389.745178223
01-Feb-2010,1710035.467773438,14571401.95489502,4623051.31463623
01-Mar-2010,1665262.491455078,15886740.12457275,4836143.695861816
01-Apr-2010,1862132.832336426,15617398.94512939,4873554.387817383
01-May-2010,1643687.868408203,14084926.96905518,4630795.650939941
01-Jun-2010,1957140.302612305,14221739.05462646,3815943.268066406
01-Jul-2010,2080749.158081055,14539694.22198486,4016513.489501953
01-Aug-2010,2017836.52722168,14299656.45581055,4181623.153808594
01-Sep-2010,1840056.848876953,13315917.67443848,4167270.15612793
01-Oct-2010,1415266.028442383,13548717.60803223,4033045.264282227
01-Nov-2010,1562542.583618164,13985524.02429199,4312062.048095703
01-Dec-2010,1703143.621826172,13395804.86651611,3760868.310852051
01-Jan-2011,1480609.328857422,14580667.03234863,3920241.40637207
01-Feb-2011,1724056.516601563,16074154.38269043,4937908.618408203
01-Mar-2011,1874414.771972656,15773560.02783203,4424078.651245117
01-Apr-2011,1646147.768554688,14931092.43902588,4455514.210571289
01-May-2011,1487724.358154297,14285474.50830078,3974690.81628418
01-Jun-2011,1711257.899780273,13540697.95782471,3902533.158752441
01-Jul-2011,1839747.78894043,13208367.57885742,3473417.390380859
01-Aug-2011,1581392.866088867,12549582.88421631,4008938.643310547
01-Sep-2011,1437544.950805664,12490935.1640625,4016589.711547852
01-Oct-2011,1504715.302978516,14119693.35723877,4096640.601135254
01-Nov-2011,1451540.73046875,13795507.80963135,3679937.685791016
01-Dec-2011,1502515.859130859,13793201.24975586,4353867.859313965
01-Jan-2012,1359089.98059082,13256342.97131348,4288141.995666504
01-Feb-2012,1381967.671264648,14348319.69708252,4670572.121398926
01-Mar-2012,1737501.68939209,15113712.8536377,4938223.563476563
01-Apr-2012,1545530.848999023,14782457.25738525,4584095.750854492
01-May-2012,1661676.360473633,13733506.91412354,4250903.377197266
01-Jun-2012,1718609.630615234,13283639.89367676,4037060.327697754
01-Jul-2012,1933724.603271484,12987020.93743896,4190595.440795898
01-Aug-2012,1701288.17199707,13034368.52453613,4265993.296630859
01-Sep-2012,1549201.527099609,13348646.19897461,4726562.825500488
