date,WGT_ya,WGT_pa,WGT_oa
01-Mar-2019,7.4107971,3.9220712,2.7253256
01-Apr-2019,9.5310183,4.3483644,2.6564074
01-May-2019,6.0624623,4.2562385,1.5511684
01-Jun-2019,11.778303,3.9991276,2.4497504
01-Jul-2019,4.2559614,3.9224277,3.3901551
01-Aug-2019,4.8790164,2.8987536,2.9852962
01-Sep-2019,9.0971775,4.5462375,2.7398975
01-Oct-2019,8.1797733,3.9220712,2.3529732
01-Nov-2019,12.675171,4.256587,2.4097552
01-Dec-2019,6.4538522,3.9220712,2.1052628
01-Jan-2020,7.7961507,4.2562494,2.952493
01-Feb-2020,6.8997808,3.7985098,2.3499753
01-Mar-2020,3.0771658,3.6328003,1.9418086
01-Apr-2020,9.0971775,3.3901551,2.2389009
01-May-2020,8.0042706,3.9665301,3.9221759
01-Jun-2020,8.0042706,4.0820584,2.5975487
01-Jul-2020,8.7011375,2.9947085,2.3530498
01-Aug-2020,5.9423456,3.0771658,1.3244799
01-Sep-2020,8.0042706,3.9226077,2.4097552
01-Oct-2020,9.5310183,4.0821996,1.8293176
01-Nov-2020,6.8992872,3.9220712,1.9231343
01-Dec-2020,3.9232569,3.2789824,1.9802628
01-Jan-2021,11.778303,3.3901551,1.9544595
01-Feb-2021,8.0042706,3.9224277,2.455431
01-Mar-2021,5.1293292,3.3900418,.7723043
01-Apr-2021,2.5975504,3.6367645,1.6866546
01-May-2021,14.310084,3.6367645,0
01-Jun-2021,7.4107971,3.6367645,2.0618496
01-Jul-2021,14.310084,3.773881,4.2559614
01-Aug-2021,17.185026,3.6366274,1.9418086
01-Sep-2021,8.6177664,4.6718411,2.8174481
01-Oct-2021,7.5507569,4.3924499,3.0723126
01-Nov-2021,10.536052,4.5324783,2.8169863
01-Dec-2021,15.415068,6.0624623,2.6827288
01-Jan-2022,11.778303,6.108551,3.9223261
01-Feb-2022,20.06707,6.8990326,3.5093615
01-Mar-2022,11.778303,5.8842111,3.8508189
01-Apr-2022,8.7011375,7.0769095,4.4048529
01-May-2022,8.0042706,7.8282943,4.6520014
01-Jun-2022,16.251892,6.8990326,6.0908718
01-Jul-2022,16.430305,6.4538522,4.8790164
01-Aug-2022,14.586246,6.4538522,3.5093615
01-Sep-2022,12.516315,6.4542904,4.5120463
01-Oct-2022,11.778303,6.4538522,3.9223247
01-Nov-2022,6.8992872,5.4067221,5.7156405
01-Dec-2022,6.8992872,6.4538522,4.4664936
01-Jan-2023,11.778303,5.7158413,4.9274979
01-Feb-2023,8.7011375,6.4538522,4.1198645
01-Mar-2023,12.074162,6.45363,5.9426284
01-Apr-2023,7.0884004,6.0630364,3.3901551
01-May-2023,10.536052,6.8990407,4.6974468
01-Jun-2023,6.8992872,6.0624623,4.0821996
01-Jul-2023,5.8840499,5.5275788,3.9226077
01-Aug-2023,6.0624623,5.5569849,2.8987536
01-Sep-2023,10.697212,5.7158413,3.4401464
