date,WGT_le_n,WGT_ae_n,WGT_de_n
01-Jul-2005,9985875.254394531,1879767.112670898,5531126.785949707
01-Aug-2005,10533346.02514648,2028993.304016113,5580488.732910156
01-Sep-2005,9145348.181030273,1930287.450256348,5413792.625305176
01-Oct-2005,9545720.164550781,1702851.236694336,6231893.075256348
01-Nov-2005,11802295.65802002,2255173.035522461,6363240.179077148
01-Dec-2005,10991593.79095459,2328053.436340332,6546993.393859863
01-Jan-2006,11621700.85983276,2190009.715332031,7213904.305480957
01-Feb-2006,12365017.72021484,2718382.531860352,7212237.446289063
01-Mar-2006,12228183.77026367,2482538.119812012,7404344.760375977
01-Apr-2006,10898608.40081787,2391348.342285156,6328271.978881836
01-May-2006,10863151.8114624,2220342.536132813,6116410.844604492
01-Jun-2006,11011122.22497559,1919497.892944336,5958257.231750488
01-Jul-2006,11963014.92199707,2112935.324829102,6753552.292297363
01-Aug-2006,11573377.34320068,2376456.354675293,6363547.088317871
01-Sep-2006,10985895.74169922,2248506.569274902,7298601.593383789
01-Oct-2006,10879416.72717285,2410209.354919434,6304093.889282227
01-Nov-2006,11518754.76379395,2221231.878845215,6429557.906982422
01-Dec-2006,10811946.63134766,2379810.103881836,6953431.749206543
01-Jan-2007,11644016.90240479,2337963.423095703,7309179.917114258
01-Feb-2007,12173046.09637451,2629460.880737305,7583025.532958984
01-Mar-2007,12634089.92932129,2448471.999206543,7432562.564697266
01-Apr-2007,11745761.13824463,2075129.852966309,6474194.197631836
01-May-2007,12092016.96081543,1966712.425842285,6897667.792419434
01-Jun-2007,11608612.39099121,2206701.977539063,6639731.571228027
01-Jul-2007,11160620.13708496,2428867.656982422,6562950.886047363
01-Aug-2007,11031144.81872559,2254603.816040039,7073816.276611328
01-Sep-2007,10819053.14477539,2215155.831848145,6425338.110046387
01-Oct-2007,10460793.34533691,2592441.899963379,6916454.261230469
01-Nov-2007,10677905.73156738,2330995.034057617,6733634.737792969
01-Dec-2007,10959250.74645996,2264455.067443848,6801766.531433105
01-Jan-2008,12056664.02282715,2549378.249816895,7148357.047729492
01-Feb-2008,12444986.49682617,2487557.140136719,7838058.908447266
01-Mar-2008,11870581.0090332,2590082.868286133,8005574.050170898
01-Apr-2008,11573607.78796387,2441479.813110352,7567465.422241211
01-May-2008,11537055.92388916,2223548.790649414,7575095.762634277
01-Jun-2008,12565333.25097656,2327289.365234375,6931120.03729248
01-Jul-2008,12118516.9017334,2592607.799682617,6504411.427368164
01-Aug-2008,11719869.04650879,2222816.398071289,6800731.18927002
01-Sep-2008,10773699.32806396,2326010.755249023,7350523.416015625
01-Oct-2008,10908760.44049072,2338359.276977539,7108425.547485352
01-Nov-2008,10749528.74053955,2345502.046264648,7163576.196166992
01-Dec-2008,11595002.68865967,2418458.124084473,7101099.513916016
01-Jan-2009,11431930.32122803,2103878.889770508,7540847.295166016
01-Feb-2009,12023456.54150391,2854137.192260742,8051574.687438965
01-Mar-2009,12050865.76879883,2682662.081115723,8207469.241882324
01-Apr-2009,10752043.52752686,2452556.343261719,7444906.334411621
01-May-2009,10700708.14697266,2171115.024902344,7680338.773132324
01-Jun-2009,11721327.0715332,2402685.754882813,7419687.413757324
01-Jul-2009,11137855.47509766,2588863.513061523,7246316.758728027
01-Aug-2009,12051909.88653564,2231252.242248535,7032744.92199707
01-Sep-2009,10296323.04754639,2230919.423339844,6778710.499267578
01-Oct-2009,10708824.60119629,2346447.66796875,6999157.680969238
01-Nov-2009,9899378.141113281,2720713.600585938,7677803.031311035
01-Dec-2009,9688860.394592285,2497452.78302002,6798133.277099609
01-Jan-2010,10300526.2755127,2320331.125915527,7470170.954101563
01-Feb-2010,11380003.57965088,2352678.831726074,7171806.325927734
01-Mar-2010,12854100.69390869,2375411.515014648,7158634.102966309
01-Apr-2010,11850363.16394043,2671997.014343262,7830725.986999512
01-May-2010,10904548.48626709,2634087.408630371,6820774.593505859
01-Jun-2010,11120485.47967529,2176456.313171387,6697880.832458496
01-Jul-2010,10714442.69549561,2478409.424316406,7444104.749755859
01-Aug-2010,11280539.96374512,2554210.949645996,6664365.223449707
01-Sep-2010,10351780.72369385,2382052.672973633,6589411.282775879
01-Oct-2010,9962560.981872559,2377567.401000977,6656900.517883301
01-Nov-2010,9808807.013061523,2516968.706298828,7534352.936645508
01-Dec-2010,9734818.527038574,2216394.131896973,6908604.140258789
01-Jan-2011,10355755.86010742,2395468.904052734,7230293.003417969
01-Feb-2011,12161609.31359863,2784959.0546875,7789551.149414063
01-Mar-2011,11119946.92181396,2317872.860717773,8634233.668518066
01-Apr-2011,11140086.67041016,2531438.28704834,7361229.460693359
01-May-2011,10753573.94622803,2114433.419555664,6879882.316955566
01-Jun-2011,10269673.46972656,1994194.669799805,6890620.876831055
01-Jul-2011,9849662.185180664,2237807.61340332,6434062.959594727
01-Aug-2011,9289300.621704102,2139382.987426758,6711230.784484863
01-Sep-2011,9060388.66418457,2137526.240600586,6747154.921630859
01-Oct-2011,10250857.4619751,2340462.489501953,7129729.309875488
01-Nov-2011,9628371.943725586,2160115.936218262,7138498.345947266
01-Dec-2011,10236640.06616211,2294644.158874512,7118300.743164063
01-Jan-2012,9656905.65625,2196943.961791992,7049725.329528809
01-Feb-2012,10053625.48840332,2543956.397583008,7803277.603759766
01-Mar-2012,10999470.74291992,2583406.738098145,8206560.625488281
01-Apr-2012,10586861.21234131,2524344.010131836,7800878.634765625
01-May-2012,10593917.2744751,2192081.672607422,6860087.704711914
01-Jun-2012,10256021.96923828,2053026.986450195,6730260.89630127
01-Jul-2012,10212530.33599854,2180418.080871582,6718392.56463623
01-Aug-2012,10472152.28887939,2008636.541748047,6520861.162536621
01-Sep-2012,9909611.23815918,2195798.119567871,7519001.193847656
01-Oct-2012,10045129.80847168,2030363.892700195,6880919.333618164
01-Nov-2012,9239539.186096191,2189298.308288574,7033126.675537109
01-Dec-2012,9608402.596313477,2423866.398803711,6739993.657714844
01-Jan-2013,10111827.5668335,2105231.32421875,6877702.293640137
01-Feb-2013,11471594.29260254,2791871.048583984,7793289.749084473
01-Mar-2013,10801429.92858887,2670970.604858398,8376134.354370117
01-Apr-2013,10674711.23535156,2608482.299804688,7266639.752441406
01-May-2013,10371173.91571045,2270647.609436035,7674655.227355957
01-Jun-2013,10041842.73205566,2125587.841186523,7698384.971496582
