date,WGT_wr_n,WGT_or_n
01-Oct-2014,14571876.7355957,2882396.613586426
01-Nov-2014,11815302.51153564,2914764.296875
01-Dec-2014,12424078.26989746,2664368.200439453
01-Jan-2015,12439280.84124756,2511535.194702148
01-Feb-2015,14497242.82546997,2656825.72052002
01-Mar-2015,14156943.92181396,3492974.329589844
01-Apr-2015,12341764.1378479,2688549.150878906
01-May-2015,13087256.47265625,2719731.953979492
01-Jun-2015,11815285.99200439,3169629.700317383
01-Jul-2015,11972964.20501709,2297932.081481934
01-Aug-2015,12387340.37475586,3310231.804443359
01-Sep-2015,12009116.90881348,2681766.18371582
01-Oct-2015,12271048.30822754,3144415.068115234
01-Nov-2015,14904070.50183105,2848366.573547363
01-Dec-2015,15314146.9574585,3522806.151489258
01-Jan-2016,15379116.25958252,3210523.59765625
01-Feb-2016,15480144.89465332,3502918.892944336
01-Mar-2016,15737229.29907227,3581368.959350586
01-Apr-2016,15920318.52606201,3540736.794921875
01-May-2016,14896934.81103516,3097559.205627441
01-Jun-2016,14175854.43969727,2942389.04296875
01-Jul-2016,13244906.27246094,2926550.637451172
01-Aug-2016,14071235.15032959,2965786.888305664
01-Sep-2016,13628469.82092285,3073242.058776855
01-Oct-2016,15540338.55639648,2837449.355957031
01-Nov-2016,14691791.83660889,2842525.853759766
01-Dec-2016,14863112.60577393,3230760.631225586
01-Jan-2017,15334728.75646973,3235692.408752441
01-Feb-2017,17105795.21282959,3454916.190124512
01-Mar-2017,16520622.69769287,3370663.276733398
01-Apr-2017,15618064.88214111,3398339.157226563
01-May-2017,15209415.7109375,3024438.478149414
01-Jun-2017,15152843.7791748,3048900.188110352
01-Jul-2017,14208740.04229736,3091951.189208984
01-Aug-2017,15199243.07525635,3653117.382202148
01-Sep-2017,15388314.66607666,3078486.984985352
01-Oct-2017,15604586.41247559,3170643.938171387
01-Nov-2017,14759753.97796631,3220979.598022461
01-Dec-2017,14915613.45611572,3471913.900817871
01-Jan-2018,14975718.82580566,3237970.354431152
01-Feb-2018,16828590.85736084,3924493.745239258
01-Mar-2018,17158990.11602783,3838363.408203125
01-Apr-2018,15489602.4307251,3715856.639831543
01-May-2018,15449879.64898682,3813099.39074707
01-Jun-2018,15863303.36413574,3231769.073730469
01-Jul-2018,14479395.19641113,3457792.223632813
01-Aug-2018,14991383.57385254,3093571.750244141
01-Sep-2018,14458108.75317383,2976441.127807617
01-Oct-2018,14660442.95294189,3269889.573120117
01-Nov-2018,14392906.40979004,2945451.085144043
01-Dec-2018,14984029.04669189,3097464.755493164
01-Jan-2019,15001917.88885498,3141553.977355957
01-Feb-2019,16949716.61047363,3293867.822998047
01-Mar-2019,17061964.18640137,3706564.797241211
01-Apr-2019,16061047.00366211,3484029.29864502
01-May-2019,15805646.50531006,3507854.439086914
01-Jun-2019,15588933.10668945,2944918.806762695
01-Jul-2019,16161630.64245605,4131269.557861328
01-Aug-2019,14525280.99169922,2858352.208496094
01-Sep-2019,14634737.19049072,3397862.78894043
01-Oct-2019,14861020.72119141,3488657.807128906
01-Nov-2019,15413977.72680664,3249027.893188477
01-Dec-2019,15514184.05883789,4045249.162231445
01-Jan-2020,15133042.92358398,3207081.526611328
01-Feb-2020,16105060.45928955,3270251.238037109
01-Mar-2020,17173637.22393799,3862807.022766113
01-Apr-2020,13497608.75787354,3052893.623718262
01-May-2020,13372557.99829102,3105639.840576172
01-Jun-2020,14345313.19897461,3204366.331054688
01-Jul-2020,14699624.82458496,3129332.522827148
01-Aug-2020,15689845.89941406,3143612.41796875
01-Sep-2020,13019245.29864502,3186331.575805664
01-Oct-2020,14661461.03985596,2959814.480102539
01-Nov-2020,13891994.98779297,3179150.221557617
01-Dec-2020,14643216.65991211,3328658.274047852
01-Jan-2021,15280247.10437012,3243729.249023438
01-Feb-2021,17145059.78747559,3787240.496826172
01-Mar-2021,15166372.42321777,3530311.422119141
01-Apr-2021,13735685.10913086,3137866.415771484
01-May-2021,12002933.83660889,3482782.270385742
01-Jun-2021,12395558.64904785,2469160.171508789
01-Jul-2021,11658860.70465088,2358086.447265625
01-Aug-2021,12163705.64477539,2395127.490600586
01-Sep-2021,13482871.12683105,2774074.907470703
01-Oct-2021,13923282.56335449,3228571.821166992
01-Nov-2021,14921942.59558105,3418770.476806641
01-Dec-2021,13433943.05273438,2891624.532714844
01-Jan-2022,13811639.18566895,3179985.922241211
01-Feb-2022,15354908.46411133,3724721.163208008
01-Mar-2022,15990095.35119629,3410548.767456055
01-Apr-2022,14496360.87011719,3829655.223876953
01-May-2022,13852298.40234375,3135343.423950195
01-Jun-2022,14274232.68725586,3031895.469848633
01-Jul-2022,13298533.29382324,3797314.237670898
01-Aug-2022,13691541.08581543,3352919.784912109
01-Sep-2022,13021664.91772461,3461669.690063477
01-Oct-2022,13830285.52246094,3690189.893066406
01-Nov-2022,14150173.73590088,3198118.091247559
01-Dec-2022,14025649.65527344,3451988.526611328
01-Jan-2023,14801650.85205078,3551250.247314453
01-Feb-2023,16478383.35656738,3586016.524291992
01-Mar-2023,16200030.79052734,4119610.901733398
01-Apr-2023,15447972.9888916,3930082.995483398
01-May-2023,15181967.41833496,4310507.809936523
01-Jun-2023,15193054.72143555,3533676.859985352
01-Jul-2023,15462778.4342041,3589481.658813477
01-Aug-2023,15582155.16699219,3221716.184326172
01-Sep-2023,15203873.57653809,3021349.486938477
