date,WGT_lo_n,WGT_mo_n,WGT_ho_n
01-Nov-2006,2719120.397827148,9960966.607299805,7489457.544494629
01-Dec-2006,2648136.669128418,9210281.561157227,8286770.254150391
01-Jan-2007,2883202.807617188,9985626.703674316,8422330.731323242
01-Feb-2007,3353419.001953125,10132735.48443604,8899378.023681641
01-Mar-2007,3120434.246276855,10696642.86401367,8698047.38293457
01-Apr-2007,2584917.324829102,9563598.310974121,8146569.553039551
01-May-2007,3269248.089477539,9540787.806274414,8146361.283325195
01-Jun-2007,3034118.412719727,9628253.267211914,7792674.25982666
01-Jul-2007,2834823.182983398,9710497.346008301,7607118.151123047
01-Aug-2007,2988631.569213867,9476990.143188477,7893943.198974609
01-Sep-2007,2706478.510131836,9512245.536071777,7240823.040466309
01-Oct-2007,2950602.575012207,8829779.07421875,8189307.857299805
01-Nov-2007,2573214.258789063,9287108.375488281,7882212.869140625
01-Dec-2007,2845512.357971191,9663494.388671875,7516465.598693848
01-Jan-2008,3184152.923339844,10192725.07348633,8377521.323547363
01-Feb-2008,3319958.675537109,10831554.61181641,8619089.258056641
01-Mar-2008,3207345.082336426,10171363.1229248,9087529.722229004
01-Apr-2008,3092614.126708984,9794642.608703613,8695296.287902832
01-May-2008,3383349.512695313,9719094.651611328,8233256.312866211
01-Jun-2008,3230015.706420898,10526997.49768066,8066729.449401855
01-Jul-2008,2964069.843505859,10193497.98028564,8057968.304992676
01-Aug-2008,3304255.235412598,9595924.665527344,7843236.732910156
01-Sep-2008,2899296.469787598,9092588.185241699,8458348.844299316
01-Oct-2008,2956702.493835449,9678029.641784668,7720813.129333496
01-Nov-2008,2758092.476257324,9282754.247924805,8217760.258789063
01-Dec-2008,2945683.562866211,9802115.785217285,8366760.97857666
01-Jan-2009,2932056.422302246,9655080.407409668,8489519.676452637
01-Feb-2009,3359952.297729492,10194956.96105957,9374259.162414551
01-Mar-2009,3043620.622375488,10759770.72418213,9137605.745239258
01-Apr-2009,3128136.287780762,8947288.983947754,8574080.93347168
01-May-2009,2884947.938110352,9032965.290161133,8634248.71673584
01-Jun-2009,3442565.681945801,9477322.588378906,8623811.969848633
01-Jul-2009,3172633.125976563,9476167.608825684,8324235.012084961
01-Aug-2009,3235365.46875,9806712.170349121,8273829.411682129
01-Sep-2009,2944676.176940918,8843348.351745605,7517928.441467285
01-Oct-2009,3132028.816650391,8673995.777587891,8248405.355895996
01-Nov-2009,2883116.346740723,8767343.718322754,8647434.707946777
01-Dec-2009,2531225.721801758,8749104.627624512,7704116.105285645
01-Jan-2010,2867838.335083008,8616799.965026855,8606390.055419922
01-Feb-2010,3395447.461181641,9223637.082763672,8285404.193359375
01-Mar-2010,3577535.856811523,10171855.91021729,8638754.54486084
01-Apr-2010,3365994.233032227,10017732.59771729,8969359.334533691
