date,WGT_lo,WGT_mo,WGT_ho
01-Sep-2018,2.6928272,3.6367645,4.0820408
01-Oct-2018,2.8987536,4.28789,4.3485112
01-Nov-2018,2.4203568,3.4635463,5.0008478
01-Dec-2018,4.7132502,3.2259786,3.2788758
01-Jan-2019,2.4692612,4.3485112,3.9223261
01-Feb-2019,3.3901551,3.3901551,3.1748698
01-Mar-2019,3.9220712,3.9220712,3.8103352
01-Apr-2019,5.4067221,3.7816823,4.0003886
01-May-2019,4.2559614,3.7740328,3.6217701
01-Jun-2019,5.1420937,4.3296785,3.5090044
01-Jul-2019,2.8170877,4.0238366,3.9106765
01-Aug-2019,3.9341297,3.4486177,2.1327746
01-Sep-2019,5.1293292,3.9229496,3.9916174
01-Oct-2019,4.2559614,3.2789824,4.0727067
01-Nov-2019,3.9220755,4.4718447,3.9226077
01-Dec-2019,3.8461359,3.1259513,4.2109838
01-Jan-2020,3.9220712,4.4650273,3.9226024
01-Feb-2020,2.8220155,3.8579493,3.2789824
01-Mar-2020,.46620086,3.4054029,3.2789824
01-Apr-2020,2.9852962,4.0821996,2.5316763
01-May-2020,3.1252513,4.1769395,4.3407936
01-Jun-2020,4.0821996,4.2004719,3.3901551
01-Jul-2020,3.9220712,2.211396,3.6228979
01-Aug-2020,2.8170877,2.446753,3.5716717
01-Sep-2020,4.6520014,3.6367645,3.7399926
01-Oct-2020,3.7740328,3.3901551,3.9221759
01-Nov-2020,6.0624623,3.7740328,3.2789824
01-Dec-2020,2.5595574,3.2789824,3.4486177
01-Jan-2021,3.1748698,3.3901551,3.6440518
01-Feb-2021,4.0820441,3.9220712,3.333642
01-Mar-2021,4.5882368,3.1252513,2.7183366
01-Apr-2021,4.0821996,3.0871646,2.8742483
01-May-2021,2.8170877,3.4557688,2.8987536
01-Jun-2021,5.4067221,3.2944191,3.3901551
01-Jul-2021,6.6911759,5.0378342,4.7519488
01-Aug-2021,4.1964197,3.6367645,3.9220712
01-Sep-2021,2.5442803,5.1293292,4.7785354
01-Oct-2021,3.4292872,4.0821996,4.879333
01-Nov-2021,4.8790164,5.0010419,3.9229515
01-Dec-2021,4.673862,4.8790164,5.5907617
01-Jan-2022,8.7011375,7.4877515,4.5462375
01-Feb-2022,7.8692245,6.8992872,6.0622363
01-Mar-2022,8.0623827,6.0624623,4.2558208
01-Apr-2022,8.3381577,6.8992872,5.8838615
01-May-2022,8.8011923,8.961216,5.038115
01-Jun-2022,9.5310183,7.4107971,6.1411443
01-Jul-2022,6.8992872,7.0617566,5.6380324
01-Aug-2022,6.4538522,5.4067221,6.8990326
01-Sep-2022,4.7270918,5.7943053,7.8553557
