date,WGT_pac_n,WGT_esc_n,WGT_wsc_n,WGT_mnt_n,WGT_nen_n,WGT_sat_n,WGT_wnc_n,WGT_enc_n,WGT_mat_n
01-Oct-2004,2680857.31072998,1084641.062011719,1926603.735351563,1556288.989196777,1050882.026367188,2879847.914306641,1755725.609344482,3670173.312011719,2077216.58203125
01-Nov-2004,2529056.946105957,867717.7021484375,1833478.62109375,1410565.151641846,1058273.489929199,2406977.585083008,1386023.302856445,2849040.184082031,2090707.654296875
01-Dec-2004,2607268.246032715,798403.8159179688,1795764.519042969,1259629.558959961,704020.2694091797,2829644.228759766,1249007.842681885,2635689.506835938,2026425.415039063
01-Jan-2005,2523674.651977539,692127.5263671875,1418466.371948242,1277471.551818848,922132.7782592773,2642868.213256836,1473789.681518555,2911433.205566406,2281211.736816406
01-Feb-2005,2666214.124420166,1021136.088378906,1853924.070556641,1374334.044921875,1083285.706848145,3148182.302734375,1693413.129638672,2872168.188720703,2600226.011230469
01-Mar-2005,3159529.966552734,970199.79296875,2060146.410644531,1576162.166870117,1175775.629272461,3146077.188781738,1569565.297668457,3251061.411621094,2380285.491210938
01-Apr-2005,2806100.921447754,1039292.801757813,1795664.74987793,1383723.871032715,859604.7359619141,2666789.797363281,1398923.843139648,2847266.439941406,2337454.948242188
01-May-2005,2553057.237091064,922270.630859375,1330695.225585938,1558988.467224121,1087068.136291504,3033916.397094727,1359155.871520996,2743486.911621094,2217666.120117188
01-Jun-2005,2278943.901733398,1067383.5859375,1748492.753540039,1312409.016296387,1050291.67590332,2936827.203979492,1399745.580154419,2469389.757324219,2640333.541992188
01-Jul-2005,2986360.261901855,755998.521484375,1552270.802734375,1737082.043273926,1049988.459960938,2540387.261047363,1693174.388061523,2870384.618652344,2211122.795898438
01-Aug-2005,3030071.184814453,794091.88671875,2016321.342285156,1465493.031616211,1063201.041137695,3153321.776428223,1483237.849853516,2958514.422851563,2178575.526367188
01-Sep-2005,2660547.36328125,743300.48046875,1743697.549804688,1356716.123046875,920735.552734375,2779415.142333984,1597918.961425781,2631196.114257813,2055900.969238281
01-Oct-2005,3155390.082763672,932345.3793945313,1548682.086914063,1352592.725708008,876911.0288085938,3173482.75994873,1650495.125366211,2723399.973144531,2067165.314453125
01-Nov-2005,3092943.12109375,1330427.698730469,2044122.2421875,1528078.066040039,989256.4501953125,3252096.225952148,1863428.604553223,3692101.184082031,2628255.279785156
01-Dec-2005,3112079.755126953,862333.5009765625,2046814.71484375,1448303.514587402,1067715.679870605,3487739.755004883,1640685.698303223,3643756.780761719,2557211.221679688
01-Jan-2006,3052179.842956543,1055341.285644531,2348090.508789063,1764186.993286133,1084426.544036865,3530270.061950684,1892248.305603027,3746489.24609375,2552382.092285156
01-Feb-2006,3562730.605895996,1170030.433105469,2326446.758789063,1521004.178283691,1190215.402832031,3708900.699829102,2069323.563964844,3740705.421875,3006280.633789063
