date_monthly,WGT_cmi,WGT_ehi,WGT_fpi,WGT_lhi,WGT_mni,WGT_pai,WGT_tti
22-Aug-1961,-2.2851703,.34564075,2.2800984,1.835906,3.3849485,2.1757476,.88677835
23-Aug-1961,1.1520078,4.9345264,4.8614917,-2.9977045,1.4597045,7.6777749,2.0155661
24-Aug-1961,-1.0008317,3.3005269,.80942959,3.5328975,3.1226079,3.4634385,3.8442161
25-Aug-1961,5.6677537,2.8759763,5.0027933,-.7003569,2.3282986,.27598798,2.598825
26-Aug-1961,6.0237446,3.5250757,3.6563566,.55120122,2.0224109,2.885385,.20681146
27-Aug-1961,1.429804,3.0699782,.91729748,3.1281042,1.8060756,8.5277281,1.9376725
28-Aug-1961,.86428207,3.7916274,6.057126,5.6322188,3.3323643,7.175806,.96182144
29-Aug-1961,5.8142505,5.2127619,1.2139648,2.1129789,.12853698,5.9912562,2.5623052
30-Aug-1961,9.3746138,4.0666857,4.1381779,.19693474,3.1232271,6.1958957,1.1621228
31-Aug-1961,2.3942235,2.6933358,4.3285356,3.9116576,4.2037215,3.8281763,5.0334673
01-Sep-1961,1.7836508,3.2594438,2.6261208,3.938082,.22552441,2.0258551,1.5717167
02-Sep-1961,4.3128877,4.995513,4.2477098,.50988019,2.8020949,4.3096871,1.2133195
03-Sep-1961,-.15659955,4.2128773,3.9565287,1.8917983,5.8489156,.059030756,1.8269808
04-Sep-1961,2.2317178,2.4751847,5.7940207,-.26766947,3.7402565,-.77200568,3.5328529
05-Sep-1961,2.443079,2.6245606,5.5256081,.15957929,2.1549749,6.8741679,2.0403185
06-Sep-1961,3.7217112,4.0243154,.66522729,-2.2609887,3.210259,.49241918,2.561265
07-Sep-1961,6.8190203,1.357592,3.1876764,1.7086606,1.0079017,4.3846898,4.4760494
08-Sep-1961,5.6526985,2.2055831,4.0690441,2.7240672,5.4885201,7.3949709,4.1206574
09-Sep-1961,4.145215,2.0798056,3.7588708,4.2683272,2.5250494,2.2429731,5.9497437
10-Sep-1961,3.9260707,3.0078161,3.1975353,.73018509,5.7671714,4.7532372,5.3105402
11-Sep-1961,8.9256697,5.2734327,7.3415856,-.11744823,6.1106319,-1.0363575,1.3974288
12-Sep-1961,5.8029914,3.4555573,6.6281719,-1.7108779,5.3752785,3.1732876,5.7187352
13-Sep-1961,7.3834724,2.9702146,5.5426989,.29464689,5.2755547,8.6360741,4.2205544
14-Sep-1961,5.5938048,1.5986252,6.3682637,2.8888335,.043022942,7.4420848,2.4990437
15-Sep-1961,12.566934,.96241868,1.2383249,2.2414322,4.9366922,2.6559579,2.8940158
16-Sep-1961,2.1489291,1.1638457,3.1960974,3.2049341,4.9314809,3.245223,5.9667521
17-Sep-1961,8.3656311,3.6757529,2.9880431,2.0354068,2.746315,1.0553933,3.6190946
18-Sep-1961,4.0440941,2.5731275,5.4891882,2.2836668,4.9293118,6.5184665,2.9257736
19-Sep-1961,2.4939046,4.7209053,8.1730347,-2.7742286,6.1841526,4.1480889,4.3455362
20-Sep-1961,5.0268712,2.014452,6.0583801,2.5263176,7.7024884,.80713248,2.6411605
21-Sep-1961,7.338233,3.0885196,5.2305512,3.8978493,6.213347,2.9976461,4.2328172
22-Sep-1961,3.9978614,4.0289593,6.2494879,-.25611797,3.1583624,1.5263382,3.6078491
23-Sep-1961,7.7783132,3.2439432,3.5916479,-1.4795091,2.7845063,.16057281,3.7231491
24-Sep-1961,6.7091374,5.4082837,2.1165779,2.7086687,4.732439,6.3359528,6.1385479
25-Sep-1961,6.1842613,3.2652659,4.3787494,.13893159,3.9034441,5.7514291,4.6620669
26-Sep-1961,5.2565193,.36122167,2.3252532,-1.0312833,2.6215703,6.0156689,3.7616725
27-Sep-1961,4.2500887,4.7052813,3.4884429,4.7310762,7.9206734,3.1037588,3.3684838
28-Sep-1961,4.9308081,4.8174853,3.842314,.32979056,4.0724502,2.2836454,4.8638601
29-Sep-1961,6.1707735,5.2184539,7.5472641,3.8433652,4.344141,4.5925436,4.8868766
30-Sep-1961,7.9580688,4.3513741,5.8969898,5.340065,6.1401858,-4.554451,3.9223022
01-Oct-1961,1.3463234,2.3660374,2.5762422,5.2222104,3.6738975,2.2578955,2.400501
02-Oct-1961,-.86167794,2.7161589,7.2605157,-.69850522,5.1239171,5.8447871,3.500912
03-Oct-1961,6.4280357,4.5674396,6.3833728,1.6042821,5.8668923,5.3901925,3.5012572
04-Oct-1961,8.2192268,1.6379091,5.0198326,4.075489,5.7151222,4.9640017,2.6110921
05-Oct-1961,3.7927022,5.0091963,3.7584777,2.3382487,2.0949602,4.362536,2.4302084
06-Oct-1961,5.4562502,2.4744768,5.1065745,-1.4395393,4.4240241,6.4923701,7.4070115
07-Oct-1961,4.4892135,3.3729987,4.3437161,.56692356,3.6648669,5.6494522,-.40596789
08-Oct-1961,5.5321193,3.9065516,3.2030017,3.251096,4.066607,.38085631,2.7950578
09-Oct-1961,7.9519377,5.4300575,4.2638168,4.1890984,1.0566981,-2.7832158,3.1150234
10-Oct-1961,4.4907207,2.0992808,5.6723094,5.1332521,.66156071,7.5942922,2.024411
11-Oct-1961,6.5256209,2.3270979,4.4266534,4.4519176,5.5240335,8.5038738,2.7687378
12-Oct-1961,.73505515,5.6773739,5.1745062,-1.6718714,2.3683596,7.5070643,4.164053
13-Oct-1961,1.5395198,3.8983529,5.0948071,7.0986218,7.5357823,2.5148129,2.0600946
14-Oct-1961,.7896812,4.8206019,5.1207356,1.7804304,4.9687314,3.8564775,3.722836
15-Oct-1961,5.9879184,6.1657009,3.3407545,3.4512651,7.6806159,.14271423,5.7763014
16-Oct-1961,5.0921311,1.8301133,5.6317029,-1.8170967,5.7026343,3.3791821,4.9353132
17-Oct-1961,3.7133183,2.060365,7.3575463,2.9115002,4.8471022,3.3374782,4.0571995
18-Oct-1961,1.0973587,4.3487873,7.637918,5.4798765,7.5153136,.34776869,6.6724324
19-Oct-1961,3.6888299,5.5826769,4.0711565,1.1350722,3.383167,.77180976,7.2963719
20-Oct-1961,5.3553934,5.6675129,2.5021071,-1.024865,5.3282518,5.6210628,5.0533004
21-Oct-1961,5.5389762,3.3737402,6.0150342,4.1695342,3.3673496,4.6526775,1.0445652
22-Oct-1961,.14732827,5.0772796,6.1666789,5.1216984,8.695694,.25100213,5.2206945
23-Oct-1961,.051507991,3.5933528,5.2467046,3.1165795,5.6101809,7.7645545,3.64539
24-Oct-1961,6.2608719,4.8533006,7.7313724,7.3624129,5.5353169,7.119401,6.181488
25-Oct-1961,9.2516079,6.0302424,6.7603636,9.5471058,8.6656179,4.2940097,4.6573434
26-Oct-1961,8.2892561,5.6814628,3.9084179,4.3970246,6.3779449,-6.8172183,4.1598277
27-Oct-1961,8.1591549,3.6181307,7.2405558,12.070149,6.2139983,5.9980655,6.4466157
28-Oct-1961,8.6499186,1.4179373,6.3124228,5.813241,3.6754506,10.775838,3.0337818
29-Oct-1961,6.4231963,3.2099328,4.1001334,3.8981299,7.1767421,.29074961,2.2896748
