date_monthly,WGT_cmi_n,WGT_ehi_n,WGT_fpi_n,WGT_lhi_n,WGT_mni_n,WGT_pai_n,WGT_tti_n
07-Jul-1961,1501979.866027832,5868546.331176758,4070145.812133789,2121334.14251709,2901826.130249023,1443228.478271484,4338098.593139648
08-Jul-1961,1468119.491394043,5617425.791931152,4358701.041015625,2305289.678466797,3021776.68359375,1464501.799743652,3868571.263549805
09-Jul-1961,1174244.977661133,4887121.694091797,3565332.362182617,1891166.786865234,3056992.162231445,1109942.176086426,3896477.96887207
10-Jul-1961,1291997.61517334,4825386.638000488,3419268.657104492,1969471.328552246,2363291.502380371,1219708.959533691,4094616.253173828
11-Jul-1961,1267711.756713867,4567250.210632324,3324828.056884766,2184945.103149414,2748442.431884766,1119174.613037109,3628903.990600586
12-Jul-1961,1316065.527160645,4750270.202880859,3701094.759521484,2585698.989746094,2729517.574279785,1165941.956604004,4492780.37121582
13-Jul-1961,1329815.681396484,5010741.809326172,3497819.872924805,2318316.351318359,3008088.63659668,1069386.416137695,3993343.939453125
14-Jul-1961,1327494.504760742,5359314.644104004,3843237.619873047,2344683.581176758,2693129.942382813,1075100.508300781,3849583.400634766
15-Jul-1961,1245052.618164063,5406384.656311035,3460439.89263916,1996575.003417969,2715081.096435547,981494.2714233398,3748637.049682617
16-Jul-1961,1395100.428771973,5156158.261291504,3531755.811035156,2060211.29284668,2359573.089050293,1078410.795166016,4555432.493652344
17-Jul-1961,1333942.708312988,5408577.909484863,3418910.313964844,1886602.086425781,2997520.211730957,1107212.350341797,3976638.448242188
18-Jul-1961,1503544.072509766,5302545.459228516,4181782.817138672,2283976.979492188,2669894.55657959,1103155.307373047,4193145.132446289
19-Jul-1961,1363838.896240234,5764865.723022461,4002097.619873047,2437084.589660645,2828960.473632813,1457928.73828125,4456611.630981445
20-Jul-1961,1315576.477355957,5807816.19342041,4059193.62689209,2345930.568725586,3220204.481811523,1350268.527770996,4378024.644226074
21-Jul-1961,1403289.638305664,5289057.230895996,3573493.340698242,1815595.666503906,3053439.04675293,1258371.027770996,3851451.770385742
22-Jul-1961,1253330.062866211,5055786.21295166,4217412.024902344,2277904.164489746,2947686.07043457,1355108.033569336,3799535.155883789
23-Jul-1961,1419092.000732422,4941542.269470215,3599144.981018066,2111496.903869629,2764887.894165039,1409679.831420898,4170094.953125
24-Jul-1961,1278115.370056152,4681641.238464355,3961935.463012695,2140966.508300781,2502453.817993164,1106048.961608887,4397278.463989258
25-Jul-1961,1103146.449707031,5099008.412719727,3885065.526000977,2268837.400878906,3055012.933959961,1163257.297668457,3740815.059631348
26-Jul-1961,1371431.239135742,4732418.94140625,3475481.966674805,2125656.628967285,2494854.799194336,1008623.943969727,4204136.196472168
27-Jul-1961,1102861.372924805,4835703.968994141,3849719.412109375,2187859.003051758,2757817.181274414,1212684.659484863,3979647.618652344
28-Jul-1961,1433274.951171875,5260067.131652832,3548876.585327148,2008451.353393555,2637771.348632813,1007116.28717041,3811870.696350098
29-Jul-1961,1397106.465148926,4909804.948608398,3983715.911682129,2151355.239746094,2746197.018920898,1085750.625,3689806.497070313
30-Jul-1961,1466492.938903809,5467656.091796875,3665573.952758789,2474288.87298584,2955820.486877441,1457424.938171387,4195354.725036621
31-Jul-1961,1346737.388427734,5849701.756713867,4159125.340454102,2418396.855957031,2944581.957519531,1364708.728271484,4606531.825195313
01-Aug-1961,1446406.263122559,5648045.302978516,4180849.248535156,2366302.353088379,3148739.143676758,1371502.331848145,4220179.907897949
02-Aug-1961,1385612.169067383,5660363.532470703,3964966.752197266,2169665.658630371,2851525.013305664,1200653.100769043,4301935.267700195
03-Aug-1961,1154890.859680176,5429120.193237305,3433264.831542969,2679977.12512207,3199521.511535645,1340115.592529297,4067827.275756836
04-Aug-1961,1306600.992858887,5513646.790161133,3844553.15020752,2355938.24621582,3047992.271118164,1477483.213012695,4246841.169372559
05-Aug-1961,1278551.021179199,5074143.220397949,3997007.317565918,2418297.009155273,2897459.84777832,1239053.001098633,4286736.183227539
06-Aug-1961,1443318.440307617,5003965.400939941,3837663.477416992,2399052.722106934,2837454.961120605,1090998.500549316,4082603.022521973
07-Aug-1961,1178141.672668457,5632871.505371094,3504403.582092285,2293369.976318359,2925047.605224609,988941.4848022461,3852966.595703125
08-Aug-1961,1550060.239746094,5318283.609619141,3625150.402770996,2013553.897277832,2533753.364501953,1366757.96496582,3906329.10736084
