date,WGT_q1_n,WGT_q2_n,WGT_q3_n,WGT_q4_n
01-Feb-2003,5486730.11505127,5372997.845153809,5379613.012817383,5781997.210571289
01-Mar-2003,5436522.155090332,5248777.498260498,5207637.697692871,5368489.289855957
01-Apr-2003,5124177.807327271,5253366.22479248,4964335.84552002,5328505.940551758
01-May-2003,4652587.441162109,5049574.470947266,4881549.025268555,4897946.450073242
01-Jun-2003,4829140.851837158,4636504.663757324,4732476.597259521,5083289.519622803
01-Jul-2003,5027166.86416626,4797567.707885742,4926119.686676025,5062587.976806641
01-Aug-2003,4781862.16229248,4947105.499572754,4821853.643005371,5018142.829101563
01-Sep-2003,4850205.761413574,4788108.768554688,4679942.830886841,4943640.873474121
01-Oct-2003,4662053.482971191,4509653.419372559,4763107.321502686,4975220.647277832
01-Nov-2003,4790115.850250244,4494688.12512207,4554163.181274414,5048044.908996582
01-Dec-2003,4601146.313293457,4650066.613952637,4799767.324829102,5061583.554626465
01-Jan-2004,5148271.809814453,4730988.93560791,5125223.241271973,5098599.014465332
01-Feb-2004,5832795.855957031,5363588.565612793,5577521.117370605,5739326.508544922
01-Mar-2004,5278774.926391602,5246143.908172607,5345531.698730469,5351939.821472168
01-Apr-2004,4811315.791442871,4529981.592041016,4577224.374084473,5112896.877990723
01-May-2004,4574501.334411621,4423783.538101196,4692692.514770508,5127429.277801514
01-Jun-2004,4653809.188171387,4382253.729187012,4849010.274475098,5084222.88067627
01-Jul-2004,4553878.336914063,4873438.805938721,4891731.56072998,5033007.35357666
01-Aug-2004,4388056.41595459,4503116.893005371,4748979.292755127,4963757.481384277
01-Sep-2004,4346711.785400391,4116088.867431641,4510353.144165039,4700716.735656738
01-Oct-2004,4838932.354400635,4469183.475128174,4460828.38772583,4870324.088562012
01-Nov-2004,4098050.46496582,3855089.34765625,4039427.904144287,4406558.106750488
01-Dec-2004,3973207.855987549,3790858.102539063,3931244.961303711,4175498.783874512
01-Jan-2005,3952164.554412842,3898968.922149658,3999943.581481934,4234909.943664551
01-Feb-2005,4709557.068786621,4289760.710540771,4406178.259521484,4861296.363830566
01-Mar-2005,4791622.607666016,4626935.803588867,4822894.449645996,5029146.436096191
01-Apr-2005,4223172.04510498,4074599.88885498,4312830.468688965,4474143.901672363
01-May-2005,4253095.406921387,3886354.650054932,4172562.141418457,4462265.793640137
01-Jun-2005,4065865.811050415,4122249.204162598,4245589.355957031,4418536.629699707
01-Jul-2005,4293774.493408203,4310973.391906738,4194632.96295166,4558857.327941895
01-Aug-2005,4430441.224304199,4409573.695007324,4608642.114807129,4649569.752441406
01-Sep-2005,3943191.372619629,3938612.156982422,4133224.035217285,4426277.980957031
01-Oct-2005,4485433.163818359,4180237.446411133,4113687.384399414,4696126.835388184
01-Nov-2005,5302803.043823242,5072858.080322266,4999047.322021484,5018292.811340332
01-Dec-2005,4899683.517089844,4721939.804321289,5047760.482055664,5173905.047790527
01-Jan-2006,5385628.972717285,5030225.946533203,5206121.600006104,5383009.613708496
01-Feb-2006,5581929.555786133,5532873.740600586,5378967.834899902,5779291.070861816
01-Mar-2006,5425974.718933105,5480676.372314453,5452146.084777832,5706166.124328613
01-Apr-2006,4766149.006469727,4923732.367614746,4956801.283203125,4968366.362915039
01-May-2006,4873482.827026367,4671253.851623535,4697310.439575195,4932289.797363281
01-Jun-2006,4730727.812866211,4580345.904296875,4613754.532470703,4923900.996276855
01-Jul-2006,5383330.606689453,5033989.209350586,5064734.692932129,5214154.523925781
01-Aug-2006,5137008.234130859,4986628.599487305,5222409.052734375,4917127.858825684
01-Sep-2006,5121505.390075684,4912007.858947754,5097643.281005859,5388226.694274902
01-Oct-2006,4937632.996887207,4834767.783996582,4911308.079101563,4888814.846496582
01-Nov-2006,5118085.44744873,4895445.464538574,4935475.273498535,5166397.453125
01-Dec-2006,5023189.010681152,4952976.017822266,4937781.843017578,5221437.833740234
01-Jan-2007,5339377.805236816,5252834.53894043,5129650.332946777,5529776.434020996
01-Feb-2007,5653092.069519043,5666268.269226074,5387226.826538086,5617422.487365723
01-Mar-2007,5632241.241516113,5588774.515197754,5525749.45098877,5716637.087280273
01-Apr-2007,5227883.280395508,4985192.714172363,4930135.896179199,5118689.892822266
01-May-2007,5403826.246643066,4941814.148620605,5230500.852294922,5346074.237915039
01-Jun-2007,5086925.198852539,5028990.092895508,4924631.305358887,5364925.100097656
01-Jul-2007,5027579.40637207,4993670.785339355,4848895.684997559,5212939.79901123
01-Aug-2007,5080757.817871094,4907887.526367188,4893958.290039063,5437265.836547852
01-Sep-2007,5105391.583374023,4648565.050598145,4841611.886962891,4840179.733703613
01-Oct-2007,5072285.933532715,4770091.21685791,4926745.034362793,5195332.475463867
01-Nov-2007,5205803.69543457,4778302.682434082,4793344.071716309,4940203.35168457
01-Dec-2007,5168956.515075684,4900503.616088867,4971167.245788574,4960948.082641602
01-Jan-2008,5450244.004516602,5205209.14831543,5525430.943664551,5540145.045776367
01-Feb-2008,5631267.719360352,5531683.056152344,5788365.790039063,5751364.51940918
01-Mar-2008,5429930.267700195,5543552.922302246,5366574.750488281,6111353.975769043
01-Apr-2008,5419323.20111084,5143032.676513672,5316070.251098633,5664586.513977051
01-May-2008,5299982.75579834,5161615.302062988,5250064.100769043,5583782.850036621
01-Jun-2008,5813107.112854004,5209091.852722168,5296886.820922852,5476406.752868652
01-Jul-2008,5480611.977111816,5260351.177490234,5211881.332641602,5195466.554748535
01-Aug-2008,5294882.568054199,5266445.305114746,4945000.501342773,5220047.971984863
01-Sep-2008,5120913.290405273,5091418.365905762,5034760.04876709,5161272.298156738
01-Oct-2008,5296727.491882324,5029079.36114502,4994497.507446289,4996581.780700684
01-Nov-2008,5248089.647094727,4810384.069580078,5043034.665588379,5113689.539672852
01-Dec-2008,5612391.709228516,5178443.560913086,5127742.05090332,5174523.167602539
01-Jan-2009,5461524.734985352,5075796.932800293,5195069.698852539,5324818.838012695
01-Feb-2009,6067291.320922852,5500441.69128418,5620806.049072266,5724267.777160645
01-Mar-2009,5993113.867736816,5755763.534545898,5436571.948608398,5753870.825500488
01-Apr-2009,5406280.585266113,5094096.075683594,4946700.205566406,5199459.720397949
01-May-2009,5303605.539794922,4892984.098022461,4969497.788879395,5339920.205932617
01-Jun-2009,5453712.366821289,5240990.547790527,5121128.261779785,5660214.765686035
01-Jul-2009,5381945.645812988,5136278.362731934,4979907.393005371,5452513.077148438
01-Aug-2009,5552682.812744141,5142775.863769531,5226915.452819824,5370655.308227539
01-Sep-2009,5065213.539916992,4741058.174499512,4635636.867614746,4839889.26348877
01-Oct-2009,5297855.918823242,4734848.604858398,4923187.780334473,5046984.719116211
01-Nov-2009,5155754.752563477,4808236.469848633,5039785.504211426,5271954.964355469
01-Dec-2009,4781225.011108398,4645829.766967773,4617814.766296387,4938327.922790527
01-Jan-2010,5324411.811706543,4764055.782470703,4848807.657897949,5122748.004699707
01-Feb-2010,5487073.162109375,5322962.683776855,4942138.609985352,5116940.937072754
01-Mar-2010,5798955.301757813,5469695.592346191,5607785.296936035,5497726.883544922
01-Apr-2010,5774006.503356934,5633705.383972168,5168082.320861816,5766948.930969238
01-May-2010,5214030.514831543,5075106.172119141,4929745.973388672,5112720.07989502
01-Jun-2010,4988374.102783203,5157265.477294922,4869777.125244141,4945670.267272949
01-Jul-2010,5319147.778076172,5061055.569641113,4939816.722839355,5314091.458679199
01-Aug-2010,5235372.449035645,5003217.197570801,5255817.228149414,4977700.310668945
01-Sep-2010,5098368.887817383,4724517.55645752,4690807.056274414,4788305.619445801
01-Oct-2010,4991305.500976563,4541996.367004395,4812915.863098145,4630915.125244141
01-Nov-2010,5133535.209228516,4776544.514404297,4939656.511962891,4984838.105957031
01-Dec-2010,4944992.60748291,4568604.197265625,4572565.250427246,4730786.869506836
01-Jan-2011,5032039.140075684,4969776.248840332,4796240.544067383,5163294.648803711
01-Feb-2011,5763432.447387695,5598768.591430664,5731398.405029297,5624529.816040039
01-Mar-2011,6058415.446838379,5435979.010864258,5379450.050415039,5196234.278991699
01-Apr-2011,5509374.309570313,5094773.20489502,5181751.504455566,5225021.909973145
01-May-2011,5133878.604492188,4751989.219543457,4845853.487304688,5003592.32244873
01-Jun-2011,4962004.297546387,4797682.53918457,4541160.954345703,4835238.085998535
01-Jul-2011,4982014.22088623,4378579.661743164,4466283.813293457,4649851.070800781
01-Aug-2011,4649730.139282227,4429161.159729004,4292160.096923828,4710687.844970703
01-Sep-2011,4651753.511108398,4465387.089355469,4212426.114013672,4608698.511962891
01-Oct-2011,5190523.790039063,4865334.14654541,4694518.968261719,4932425.749206543
01-Nov-2011,4959635.97253418,4538738.25793457,4534076.29284668,4881853.883850098
01-Dec-2011,5063083.930969238,4653434.182128906,4857617.383544922,5060177.694946289
01-Jan-2012,4966057.620544434,4537601.782409668,4668846.348388672,4722692.594665527
01-Feb-2012,5392217.97845459,4888649.013671875,5076040.743225098,5035441.095703125
01-Mar-2012,5864825.677185059,5089539.940307617,5413020.48046875,5422052.008544922
01-Apr-2012,5491340.379638672,5179596.809509277,5132739.606689453,5094979.815307617
01-May-2012,5066689.702026367,4869053.282226563,4863248.132568359,4847095.534973145
01-Jun-2012,4958739.493041992,4735403.926818848,4700764.480957031,4612490.213867188
01-Jul-2012,5248002.049743652,4585117.689819336,4551385.91595459,4714041.913391113
01-Aug-2012,4929351.768005371,4427815.377319336,4724668.917053223,4898255.549926758
01-Sep-2012,5038550.913818359,4749332.112548828,4768576.903381348,5065954.583984375
01-Oct-2012,5299543.368041992,4583962.045166016,4399881.285644531,4645561.500488281
01-Nov-2012,4858168.893920898,4599650.266418457,4485378.580383301,4518766.429199219
01-Dec-2012,4946544.110412598,4405456.021362305,4691209.144287109,4722671.39630127
01-Jan-2013,5132138.019958496,4720723.233154297,4520388.520446777,4715810.061035156
01-Feb-2013,6000819.047851563,5265129.779052734,5408664.532592773,5382141.730773926
01-Mar-2013,5987443.616699219,5343295.4921875,5147090.707885742,5354775.312988281
01-Apr-2013,5283427.619018555,4988772.184448242,5052317.226318359,5195327.015136719
01-May-2013,5324476.736877441,4922459.309692383,4795263.524597168,5248743.497741699
01-Jun-2013,5191989.341674805,4887798.204284668,4763684.547851563,5010427.592651367
01-Jul-2013,5144996.137939453,4454080.418945313,4502580.167236328,4758584.005371094
01-Aug-2013,4942495.170776367,4528198.29675293,4523268.67980957,4725871.164489746
01-Sep-2013,5335264.234985352,4645363.69921875,4646631.385131836,4601322.965820313
